statistic,tavg,prcp,Q_1,Q_1007,Q_1005,Q_1006
min,3.0,10.000000000000014,0.0165,0.0005,0.0418,0.0478
min,3.0,20.0,0.0215,0.0007,0.0481,0.0542
min,4.0,-40.0,0.0042,0.0003,0.0144,0.0193
min,4.0,-30.0,0.0048,0.0003,0.0186,0.0239
min,4.0,-20.0,0.0062,0.0003,0.0233,0.0289
min,4.0,-10.0,0.0082,0.0003,0.0291,0.035
min,4.0,0.0,0.0115,0.0004,0.0351,0.041
min,4.0,10.000000000000014,0.0158,0.0005,0.0411,0.0471
min,4.0,20.0,0.0207,0.0006,0.0473,0.0534
q95,0.0,-40.0,0.2,0.02,0.12,0.11
q95,0.0,-30.0,0.24,0.02,0.14,0.13
q95,0.0,-20.0,0.29,0.03,0.17,0.17
q95,0.0,-10.0,0.37,0.04,0.22,0.21
q95,0.0,0.0,0.48,0.05,0.28,0.27
q95,0.0,10.000000000000014,0.6,0.07,0.35,0.33
q95,0.0,20.0,0.76,0.11,0.43,0.41
q95,1.0,-40.0,0.2,0.02,0.12,0.11
q95,1.0,-30.0,0.24,0.02,0.14,0.13
q95,1.0,-20.0,0.29,0.03,0.17,0.16
q95,1.0,-10.0,0.37,0.04,0.22,0.21
q95,1.0,0.0,0.47,0.05,0.28,0.26
q95,1.0,10.000000000000014,0.59,0.07,0.34,0.33
q95,1.0,20.0,0.75,0.1,0.42,0.4
q95,2.0,-40.0,0.2,0.02,0.11,0.11
q95,2.0,-30.0,0.23,0.02,0.14,0.13
q95,2.0,-20.0,0.29,0.03,0.17,0.16
q95,2.0,-10.0,0.36,0.04,0.21,0.2
q95,2.0,0.0,0.46,0.05,0.27,0.26
q95,2.0,10.000000000000014,0.58,0.07,0.34,0.32
q95,2.0,20.0,0.73,0.1,0.42,0.39
q95,3.0,-40.0,0.2,0.02,0.11,0.11
q95,3.0,-30.0,0.23,0.02,0.14,0.13
q95,3.0,-20.0,0.28,0.03,0.17,0.16
q95,3.0,-10.0,0.35,0.04,0.21,0.2
q95,3.0,0.0,0.45,0.05,0.27,0.25
q95,3.0,10.000000000000014,0.57,0.07,0.33,0.32
q95,3.0,20.0,0.72,0.1,0.41,0.39
q95,4.0,-40.0,0.2,0.02,0.11,0.11
q95,4.0,-30.0,0.23,0.02,0.13,0.13
q95,4.0,-20.0,0.28,0.03,0.17,0.16
q95,4.0,-10.0,0.35,0.03,0.21,0.2
q95,4.0,0.0,0.45,0.05,0.26,0.25
q95,4.0,10.000000000000014,0.56,0.07,0.33,0.31
q95,4.0,20.0,0.71,0.1,0.4,0.38
returninterval,0.0,-40.0,2.54,0.33,0.86,0.79
returninterval,0.0,-30.0,2.66,0.34,0.95,0.95
returninterval,0.0,-20.0,2.92,0.36,1.13,1.21
returninterval,0.0,-10.0,3.49,0.45,1.51,1.58
returninterval,0.0,0.0,4.36,0.6,1.93,1.91
returninterval,0.0,10.000000000000014,5.64,0.9,2.45,2.32
returninterval,0.0,20.0,7.32,1.28,2.9,2.72
returninterval,1.0,-40.0,2.55,0.33,0.87,0.81
returninterval,1.0,-30.0,2.66,0.34,0.96,0.96
returninterval,1.0,-20.0,2.91,0.35,1.13,1.21
returninterval,1.0,-10.0,3.45,0.44,1.5,1.58
returninterval,1.0,0.0,4.32,0.58,1.93,1.92
returninterval,1.0,10.000000000000014,5.58,0.87,2.44,2.31
returninterval,1.0,20.0,7.23,1.25,2.91,2.72
returninterval,2.0,-40.0,2.55,0.33,0.88,0.82
returninterval,2.0,-30.0,2.66,0.34,0.97,0.96
returninterval,2.0,-20.0,2.89,0.34,1.12,1.2
returninterval,2.0,-10.0,3.41,0.43,1.48,1.57
returninterval,2.0,0.0,4.27,0.56,1.91,1.92
returninterval,2.0,10.000000000000014,5.5,0.84,2.42,2.3
returninterval,2.0,20.0,7.11,1.22,2.9,2.71
returninterval,3.0,-40.0,2.53,0.32,0.88,0.81
returninterval,3.0,-30.0,2.65,0.34,0.96,0.96
returninterval,3.0,-20.0,2.87,0.34,1.11,1.18
returninterval,3.0,-10.0,3.37,0.42,1.45,1.55
returninterval,3.0,0.0,4.2,0.55,1.88,1.9
returninterval,3.0,10.000000000000014,5.4,0.82,2.38,2.27
returninterval,3.0,20.0,6.98,1.19,2.87,2.68
returninterval,4.0,-40.0,2.52,0.32,0.88,0.81
returninterval,4.0,-30.0,2.63,0.33,0.96,0.96
returninterval,4.0,-20.0,2.85,0.34,1.1,1.16
returninterval,4.0,-10.0,3.33,0.41,1.42,1.53
returninterval,4.0,0.0,4.15,0.53,1.86,1.88
returninterval,4.0,10.000000000000014,5.31,0.79,2.34,2.24
returninterval,4.0,20.0,6.86,1.16,2.84,2.66
Q7day_max,0.0,-40.0,0.6,0.07,0.24,0.22
Q7day_max,0.0,-30.0,0.67,0.07,0.28,0.26
Q7day_max,0.0,-20.0,0.78,0.08,0.33,0.31
Q7day_max,0.0,-10.0,0.94,0.11,0.41,0.39
Q7day_max,0.0,0.0,1.16,0.15,0.51,0.48
Q7day_max,0.0,10.000000000000014,1.47,0.21,0.65,0.61
Q7day_max,0.0,20.0,1.87,0.3,0.8,0.76
Q7day_max,1.0,-40.0,0.6,0.07,0.24,0.22
Q7day_max,1.0,-30.0,0.67,0.07,0.28,0.26
Q7day_max,1.0,-20.0,0.77,0.08,0.33,0.31
Q7day_max,1.0,-10.0,0.93,0.1,0.41,0.39
Q7day_max,1.0,0.0,1.15,0.14,0.51,0.48
Q7day_max,1.0,10.000000000000014,1.45,0.21,0.64,0.61
Q7day_max,1.0,20.0,1.85,0.29,0.8,0.75
Q7day_max,2.0,-40.0,0.6,0.07,0.24,0.22
Q7day_max,2.0,-30.0,0.66,0.07,0.27,0.26
Q7day_max,2.0,-20.0,0.76,0.08,0.33,0.31
Q7day_max,2.0,-10.0,0.91,0.1,0.4,0.38
Q7day_max,2.0,0.0,1.13,0.14,0.5,0.48
Q7day_max,2.0,10.000000000000014,1.43,0.2,0.64,0.6
Q7day_max,2.0,20.0,1.82,0.28,0.79,0.75
Q7day_max,3.0,-40.0,0.6,0.07,0.24,0.22
Q7day_max,3.0,-30.0,0.66,0.07,0.27,0.25
Q7day_max,3.0,-20.0,0.76,0.08,0.32,0.3
Q7day_max,3.0,-10.0,0.9,0.1,0.4,0.38
Q7day_max,3.0,0.0,1.11,0.14,0.49,0.47
Q7day_max,3.0,10.000000000000014,1.41,0.2,0.63,0.59
Q7day_max,3.0,20.0,1.79,0.28,0.78,0.73
