scenario,model,prcp,tavg
rcp85,IPSL-CM5A-LR,-59.83711876,4.859755747
rcp85,IPSL-CM5A-MR,-2.545491749,3.546771432
rcp85,IPSL-CM5B-LR,-8.597808872,2.939052651
rcp85,MIROC-ESM,3.211667056,3.412962272
rcp85,MIROC-ESM-CHEM,2.755859243,3.693055125
rcp85,MIROC5,13.31801662,2.354559624
rcp85,MPI-ESM-LR,4.613193588,3.283942136
rcp85,MPI-ESM-MR,10.55411115,3.151372622
rcp85,MRI-CGCM3,2.39365284,2.33660379
rcp85,NorESM1-M,7.536649632,2.495751507
